split,image,width,height,objects,status
train,0000002_00005_d_0000014.jpg,960,540,82,success
train,0000002_00448_d_0000015.jpg,960,540,85,success
train,0000003_00231_d_0000016.jpg,960,540,39,success
train,0000007_04999_d_0000036.jpg,1360,765,57,success
train,0000007_05499_d_0000037.jpg,1360,765,60,success
train,0000007_05999_d_0000038.jpg,1360,765,40,success
train,0000008_00889_d_0000039.jpg,1360,765,14,success
train,0000008_01999_d_0000040.jpg,1360,765,18,success
train,0000008_02499_d_0000041.jpg,1360,765,12,success
train,0000008_02999_d_0000042.jpg,1360,765,47,success
train,0000008_03499_d_0000043.jpg,1360,765,27,success
train,0000008_03999_d_0000044.jpg,1360,765,27,success
train,0000008_04499_d_0000045.jpg,1360,765,26,success
train,0000010_00569_d_0000056.jpg,1360,765,45,success
train,0000010_05149_d_0000057.jpg,1360,765,57,success
train,0000010_05291_d_0000058.jpg,1360,765,58,success
train,0000013_00465_d_0000067.jpg,960,540,92,success
train,0000016_00420_d_0000068.jpg,960,540,46,success
train,0000016_01352_d_0000069.jpg,960,540,61,success
train,0000030_00754_d_0000036.jpg,960,540,131,success
train,0000031_00000_d_0000037.jpg,960,540,164,success
train,0000031_02000_d_0000041.jpg,960,540,67,success
train,0000031_03527_d_0000043.jpg,960,540,82,success
train,0000036_00500_d_0000046.jpg,960,540,101,success
train,0000036_03591_d_0000048.jpg,960,540,51,success
train,0000037_01494_d_0000052.jpg,960,540,227,success
train,0000039_00000_d_0000055.jpg,960,540,60,success
train,0000039_05300_d_0000061.jpg,960,540,66,success
train,0000039_05625_d_0000062.jpg,960,540,58,success
train,0000040_01000_d_0000066.jpg,960,540,67,success
train,0000040_01500_d_0000067.jpg,960,540,37,success
train,0000040_02454_d_0000068.jpg,960,540,19,success
train,0000040_03288_d_0000069.jpg,960,540,42,success
train,0000040_03752_d_0000070.jpg,960,540,17,success
train,0000040_04284_d_0000071.jpg,960,540,131,success
train,0000042_01000_d_0000074.jpg,960,540,129,success
train,0000042_02231_d_0000075.jpg,960,540,96,success
train,0000042_02421_d_0000076.jpg,960,540,94,success
train,0000043_00500_d_0000077.jpg,960,540,162,success
train,0000045_00000_d_0000083.jpg,960,540,154,success
train,0000045_00500_d_0000084.jpg,960,540,150,success
train,0000045_01032_d_0000085.jpg,960,540,56,success
train,0000045_01500_d_0000086.jpg,960,540,105,success
train,0000046_00000_d_0000087.jpg,960,540,132,success
train,0000046_00720_d_0000088.jpg,960,540,69,success
train,0000047_01000_d_0000090.jpg,960,540,71,success
train,0000047_02500_d_0000093.jpg,960,540,68,success
train,0000047_03500_d_0000095.jpg,960,540,152,success
train,0000048_01989_d_0000098.jpg,960,540,99,success
train,0000050_00500_d_0000104.jpg,960,540,99,success
train,0000056_00727_d_0000111.jpg,960,540,79,success
train,0000059_01886_d_0000114.jpg,960,540,902,success
train,0000068_00001_d_0000001.jpg,1360,765,198,success
