split,label_file,objects,status
train,0000002_00005_d_0000014.txt,82,checked
train,0000002_00448_d_0000015.txt,85,checked
train,0000003_00231_d_0000016.txt,39,checked
train,0000007_04999_d_0000036.txt,57,checked
train,0000007_05499_d_0000037.txt,60,checked
train,0000007_05999_d_0000038.txt,40,checked
train,0000008_00889_d_0000039.txt,14,checked
train,0000008_01999_d_0000040.txt,18,checked
train,0000008_02499_d_0000041.txt,12,checked
train,0000008_02999_d_0000042.txt,47,checked
train,0000008_03499_d_0000043.txt,27,checked
train,0000008_03999_d_0000044.txt,27,checked
train,0000008_04499_d_0000045.txt,26,checked
train,0000010_00569_d_0000056.txt,45,checked
train,0000010_05149_d_0000057.txt,57,checked
train,0000010_05291_d_0000058.txt,58,checked
train,0000013_00465_d_0000067.txt,92,checked
train,0000016_00420_d_0000068.txt,46,checked
train,0000016_01352_d_0000069.txt,61,checked
train,0000030_00754_d_0000036.txt,131,checked
train,0000031_00000_d_0000037.txt,164,checked
train,0000031_02000_d_0000041.txt,67,checked
train,0000031_03527_d_0000043.txt,82,checked
train,0000036_00500_d_0000046.txt,101,checked
train,0000036_03591_d_0000048.txt,51,checked
train,0000037_01494_d_0000052.txt,227,checked
train,0000039_00000_d_0000055.txt,60,checked
train,0000039_05300_d_0000061.txt,66,checked
train,0000039_05625_d_0000062.txt,58,checked
train,0000040_01000_d_0000066.txt,67,checked
train,0000040_01500_d_0000067.txt,37,checked
train,0000040_02454_d_0000068.txt,19,checked
train,0000040_03288_d_0000069.txt,42,checked
train,0000040_03752_d_0000070.txt,17,checked
train,0000040_04284_d_0000071.txt,131,checked
train,0000042_01000_d_0000074.txt,129,checked
train,0000042_02231_d_0000075.txt,96,checked
train,0000042_02421_d_0000076.txt,94,checked
train,0000043_00500_d_0000077.txt,162,checked
train,0000045_00000_d_0000083.txt,154,checked
train,0000045_00500_d_0000084.txt,150,checked
train,0000045_01032_d_0000085.txt,56,checked
train,0000045_01500_d_0000086.txt,105,checked
train,0000046_00000_d_0000087.txt,132,checked
train,0000046_00720_d_0000088.txt,69,checked
train,0000047_01000_d_0000090.txt,71,checked
train,0000047_02500_d_0000093.txt,68,checked
train,0000047_03500_d_0000095.txt,152,checked
train,0000048_01989_d_0000098.txt,99,checked
train,0000050_00500_d_0000104.txt,99,checked
train,0000056_00727_d_0000111.txt,79,checked
train,0000059_01886_d_0000114.txt,902,checked
train,0000068_00001_d_0000001.txt,198,checked
train,0000068_00460_d_0000002.txt,205,checked
train,0000068_00571_d_0000003.txt,211,checked
train,0000068_01001_d_0000004.txt,105,checked
train,0000068_01500_d_0000005.txt,82,checked
train,0000068_02104_d_0000006.txt,46,checked
train,0000068_02648_d_0000007.txt,61,checked
train,0000068_02805_d_0000008.txt,72,checked
train,0000068_03174_d_0000009.txt,171,checked
train,0000068_03388_d_0000010.txt,139,checked
train,0000068_03581_d_0000011.txt,61,checked
train,0000068_03714_d_0000012.txt,103,checked
train,0000068_03918_d_0000013.txt,43,checked
train,0000068_04169_d_0000014.txt,189,checked
train,0000070_04722_d_0000001.txt,101,checked
train,0000070_05163_d_0000002.txt,77,checked
train,0000070_05312_d_0000003.txt,57,checked
train,0000070_05776_d_0000004.txt,116,checked
train,0000070_05880_d_0000005.txt,155,checked
train,0000070_06990_d_0000007.txt,159,checked
train,0000071_00007_d_0000001.txt,75,checked
train,0000071_02729_d_0000002.txt,91,checked
train,0000071_03136_d_0000003.txt,78,checked
train,0000071_03281_d_0000004.txt,49,checked
train,0000071_03470_d_0000005.txt,39,checked
train,0000071_03522_d_0000006.txt,32,checked
train,0000071_04085_d_0000007.txt,138,checked
train,0000071_05298_d_0000008.txt,132,checked
train,0000071_06447_d_0000009.txt,136,checked
train,0000071_06896_d_0000010.txt,28,checked
train,0000071_06967_d_0000011.txt,33,checked
train,0000071_07349_d_0000012.txt,64,checked
train,0000071_07913_d_0000013.txt,21,checked
train,0000072_00000_d_0000001.txt,85,checked
train,0000072_00137_d_0000002.txt,104,checked
train,0000072_03425_d_0000004.txt,123,checked
train,0000072_04493_d_0000005.txt,120,checked
train,0000072_05285_d_0000006.txt,69,checked
train,0000072_05564_d_0000007.txt,77,checked
train,0000072_05654_d_0000008.txt,54,checked
train,0000072_05827_d_0000009.txt,60,checked
train,0000072_06173_d_0000010.txt,98,checked
train,0000072_07242_d_0000011.txt,64,checked
train,0000072_07660_d_0000012.txt,46,checked
train,0000072_08702_d_0000013.txt,95,checked
train,0000072_09163_d_0000014.txt,32,checked
train,0000076_00004_d_0000001.txt,8,checked
train,0000076_00352_d_0000002.txt,8,checked
train,0000076_00616_d_0000003.txt,11,checked
train,0000076_01012_d_0000004.txt,25,checked
train,0000076_01444_d_0000005.txt,39,checked
train,0000076_01601_d_0000006.txt,39,checked
train,0000076_01792_d_0000007.txt,51,checked
train,0000076_01975_d_0000008.txt,23,checked
train,0000076_02667_d_0000010.txt,2,checked
train,0000076_03315_d_0000011.txt,114,checked
train,0000076_03689_d_0000012.txt,48,checked
train,0000076_03930_d_0000013.txt,64,checked
train,0000076_04200_d_0000014.txt,15,checked
train,0000076_04382_d_0000015.txt,29,checked
train,0000076_04674_d_0000016.txt,14,checked
train,0000076_04925_d_0000017.txt,6,checked
train,0000076_04999_d_0000018.txt,20,checked
train,0000076_05079_d_0000019.txt,47,checked
train,0000079_00507_d_0000001.txt,55,checked
train,0000079_00761_d_0000002.txt,43,checked
train,0000079_01062_d_0000003.txt,24,checked
train,0000079_01316_d_0000004.txt,13,checked
train,0000079_01515_d_0000005.txt,26,checked
train,0000079_01673_d_0000006.txt,7,checked
train,0000079_01783_d_0000007.txt,56,checked
train,0000079_02443_d_0000008.txt,10,checked
train,0000080_00002_d_0000001.txt,29,checked
train,0000084_00000_d_0000001.txt,85,checked
train,0000084_00281_d_0000002.txt,81,checked
train,0000084_01436_d_0000004.txt,51,checked
train,0000084_01781_d_0000005.txt,59,checked
train,0000084_01959_d_0000006.txt,76,checked
train,0000084_02139_d_0000007.txt,118,checked
